message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,notify,business,Payment related message.,0.765,"message_0243,message_0102"
msg_091,mute,group,Routine group message.,0.531,"message_0238,message_0320"
msg_090,mute,group,Routine group message.,0.524,"message_0339,message_0340"
msg_048,notify,scam,Suspicious content detected.,0.699,"message_0151,message_0152"
msg_040,mute,group,Routine group message.,0.557,"message_0136,message_0135"
msg_075,summarize,promotion,Promotional message.,0.776,"message_0206,message_0205"
msg_005,mute,group,Routine group message.,0.641,"message_0390,message_0332"
msg_104,mute,group,Routine group message.,0.592,"message_0224,message_0050"
msg_069,mute,group,Routine group message.,0.599,"message_0177,message_0193"
msg_107,notify,scam,Suspicious content detected.,0.689,"message_0023,message_0045"
msg_070,notify,urgent,OTP requires immediate attention.,0.756,"message_0369,message_0023"
msg_003,summarize,promotion,Promotional message.,0.881,"message_0400,message_0031"
msg_099,mute,group,Routine group message.,0.625,"message_0227,message_0249"
msg_008,notify,business,Verified business message.,0.769,"message_0296,message_0072"
msg_092,notify,business,Payment related message.,0.675,"message_0346,message_0344"
msg_060,mute,group,Routine group message.,0.632,"message_0404,message_0176"
msg_004,summarize,promotion,Promotional message.,0.89,"message_0245,message_0005"
msg_030,mute,group,Routine group message.,0.595,"message_0335,message_0224"
msg_045,mute,group,Routine group message.,0.605,"message_0146,message_0145"
msg_052,notify,scam,Suspicious content detected.,0.728,"message_0207,message_0208"
msg_009,mute,group,Routine group message.,0.577,"message_0074,message_0073"
msg_071,mute,group,Routine group message.,0.572,"message_0197,message_0198"
msg_016,notify,urgent,OTP requires immediate attention.,0.672,"message_0024,message_0201"
msg_065,notify,business,Verified business message.,0.748,"message_0186,message_0185"
msg_038,mute,group,Routine group message.,0.521,"message_0131,message_0132"
msg_086,notify,business,Verified business message.,0.709,"message_0222,message_0118"
msg_014,summarize,promotion,Promotional message.,0.861,"message_0258,message_0018"
msg_094,notify,business,Verified business message.,0.625,"message_0356,message_0388"
msg_029,mute,group,Routine group message.,0.621,"message_0390,message_0332"
msg_105,mute,group,Routine group message.,0.567,"message_0373,message_0233"
msg_002,notify,scam,Suspicious content detected.,0.798,"message_0003,message_0059"
msg_010,notify,business,Payment related message.,0.847,"message_0011,message_0242"
msg_078,mute,group,Routine group message.,0.497,"message_0211,message_0212"
msg_013,notify,scam,Suspicious content detected.,0.657,"message_0082,message_0081"
msg_018,mute,group,Routine group message.,0.517,"message_0092,message_0091"
msg_044,notify,urgent,OTP requires immediate attention.,0.65,"message_0036,message_0143"
msg_032,mute,group,Routine group message.,0.637,"message_0119,message_0285"
msg_106,mute,group,Routine group message.,0.584,"message_0376,message_0234"
msg_006,mute,group,Routine group message.,0.666,"message_0029,message_0044"
msg_109,notify,scam,Suspicious content detected.,0.693,"message_0151,message_0152"
msg_108,mute,group,Routine group message.,0.58,"message_0094,message_0093"
msg_019,mute,group,Routine group message.,0.608,"message_0093,message_0094"
msg_088,mute,group,Routine group message.,0.593,"message_0335,message_0224"
msg_056,mute,group,Routine group message.,0.625,"message_0168,message_0167"
msg_027,notify,business,Verified business message.,0.807,"message_0110,message_0272"
msg_050,summarize,promotion,Promotional message.,0.809,"message_0279,message_0156"
msg_083,mute,group,Routine group message.,0.546,"message_0219,message_0323"
msg_063,notify,scam,Suspicious content detected.,0.667,"message_0181,message_0182"
msg_033,mute,group,Routine group message.,0.589,"message_0121,message_0122"
msg_061,mute,group,Routine group message.,0.615,"message_0177,message_0193"
msg_020,mute,group,Routine group message.,0.549,"message_0096,message_0095"
msg_017,notify,scam,Suspicious content detected.,0.649,"message_0089,message_0090"
msg_058,mute,group,Routine group message.,0.62,"message_0241,message_0078"
msg_026,notify,scam,Suspicious content detected.,0.69,"message_0032,message_0107"
msg_047,mute,group,Routine group message.,0.619,"message_0150,message_0149"
msg_046,notify,urgent,OTP requires immediate attention.,0.677,"message_0147,message_0148"
msg_042,mute,group,Routine group message.,0.617,"message_0140,message_0058"
msg_079,notify,urgent,OTP requires immediate attention.,0.747,"message_0023,message_0045"
msg_098,mute,group,Routine group message.,0.607,"message_0359,message_0168"
msg_037,mute,group,Routine group message.,0.649,"message_0269,message_0001"
msg_007,mute,group,Routine group message.,0.565,"message_0069,message_0070"
msg_085,mute,group,Routine group message.,0.549,"message_0221,message_0368"
msg_001,mute,group,Routine group message.,0.631,"message_0057,message_0240"
msg_021,notify,scam,Suspicious content detected.,0.781,"message_0098,message_0068"
msg_028,summarize,promotion,Promotional message.,0.743,"message_0111,message_0112"
msg_012,mute,group,Routine group message.,0.593,"message_0079,message_0247"
msg_064,mute,group,Routine group message.,0.575,"message_0201,message_0087"
msg_103,mute,group,Routine group message.,0.632,"message_0065,message_0382"
msg_031,mute,group,Routine group message.,0.621,"message_0118,message_0249"
msg_057,mute,group,Routine group message.,0.686,"message_0266,message_0041"
msg_087,mute,group,Routine group message.,0.576,"message_0223,message_0358"
msg_067,notify,scam,Suspicious content detected.,0.801,"message_0097,message_0067"
msg_039,notify,scam,Suspicious content detected.,0.771,"message_0051,message_0037"
msg_082,mute,group,Routine group message.,0.589,"message_0397,message_0218"
msg_066,summarize,promotion,Promotional message.,0.721,"message_0187,message_0188"
msg_049,notify,business,Verified business message.,0.76,"message_0291,message_0154"
msg_015,notify,urgent,OTP requires immediate attention.,0.715,"message_0199,message_0085"
msg_051,summarize,promotion,Promotional message.,0.82,"message_0257,message_0103"
msg_097,mute,group,Routine group message.,0.606,"message_0167,message_0054"
msg_089,mute,group,Routine group message.,0.478,"message_0299,message_0396"
msg_053,mute,group,Routine group message.,0.584,"message_0162,message_0411"
msg_059,mute,group,Routine group message.,0.617,"message_0053,message_0023"
msg_024,summarize,promotion,Promotional message.,0.82,"message_0257,message_0103"
msg_072,notify,urgent,OTP requires immediate attention.,0.736,"message_0199,message_0085"
msg_036,notify,scam,Suspicious content detected.,0.693,"message_0283,message_0128"
msg_076,notify,scam,Suspicious content detected.,0.728,"message_0207,message_0208"
msg_055,mute,group,Routine group message.,0.582,"message_0166,message_0165"
msg_102,mute,group,Routine group message.,0.65,"message_0371,message_0230"
msg_080,mute,group,Routine group message.,0.679,"message_0216,message_0130"
msg_093,notify,scam,Suspicious content detected.,0.621,"message_0387,message_0347"
msg_034,mute,group,Routine group message.,0.599,"message_0013,message_0123"
msg_035,notify,business,Payment related message.,0.793,"message_0281,message_0125"
msg_101,mute,group,Routine group message.,0.592,"message_0268,message_0370"
msg_041,notify,business,Verified business message.,0.727,"message_0137,message_0138"
msg_011,mute,group,Routine group message.,0.613,"message_0014,message_0123"
msg_110,mute,group,Routine group message.,0.528,"message_0238,message_0320"
msg_095,notify,scam,Suspicious content detected.,0.624,"message_0024,message_0201"
